项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
活动,62863,梦想起航，公益你我行,筹集结束,500,205,3,5,5.00,24,3,是,项目结束后60天发送回报,1,1,NOTFOUND,2014-09-17 00:00,14896,3,NOTFOUND
活动,62868,李某某---上海传递公益梦,筹集结束,425,60,2,5,10.00,20,2,是,项目结束后7天发送回报,0,1,NOTFOUND,2014-09-01 00:00,14606,2,3
活动,62874,【地大学子众筹圆梦西北】我有一个梦，一起来实现好么？,筹集成功,700,890,35,7,5.00,26,38,是,项目结束后60天发送回报,0,1,NOTFOUND,2014-09-05 00:00,28543,37,55
活动,62844,【DFC广州升级之旅】让更多孩子相信：Yes，I can！,筹集成功,700,736,12,5,5.00,26,13,是,不确定,3,1,NOTFOUND,2014-08-31 00:00,57559,12,30
活动,62817,种子在路上 Seed Plan 公益领袖营成长行,筹集成功,750,870,13,3,10.00,15,13,否,不确定,0,1,NOTFOUND,2014-08-23 00:00,16279,13,4
活动,62828,工科女的人文理想——我为贵州大山里的读书梦而努力，一起来么？,筹集成功,371,502,18,6,5.00,26,19,否,不确定,1,1,NOTFOUND,2014-08-25 00:00,20879,19,5
活动,62879,上海众筹会——联合发起人，创始会员招募计划,筹集结束,50000,18,13,3,3000.00,10,13,否,不确定,0,2,NOTFOUND,2014-10-14 00:00,77904,15,36
活动,62847,慧聚魔都，贵州青年为爱&amp;希望行动,筹集成功,200,397,18,5,5.00,26,18,否,项目结束后15天发送回报,5,1,NOTFOUND,2014-08-22 00:00,16739,19,12
活动,62826,众筹去上海，请帮助一个二货进城！,筹集成功,600,700,32,6,1.50,21,33,否,不确定,2,1,NOTFOUND,2014-08-23 00:00,24148,32,19
活动,62822,黑苹果先蜂领袖营 一“启”行动,筹集成功,1000,1255.14,61,5,5.00,27,63,是,不确定,2,1,NOTFOUND,2014-08-23 00:00,47800,63,34
活动,62717,璀璨星光：为星梦添翼,筹集结束,2000,210,10,5,10.00,13,11,否,项目结束后30天发送回报,0,1,NOTFOUND,2014-09-11 00:00,58974,10,45
活动,62761,陕西青年众筹去上海，行动带来改变，众筹是我的第一步,筹集成功,325,460,17,4,10.00,12,18,否,不确定,1,1,NOTFOUND,2014-08-21 00:00,16745,17,17
活动,62777,关注粤西留守儿童，社会听筒众筹参加“黑苹果青年先蜂领袖营”,筹集成功,375,425,14,5,3.00,36,16,否,项目结束后24天发送回报,0,1,NOTFOUND,2014-08-22 00:00,50880,15,44
活动,62713,启智计划之“黑苹果先锋领袖营”路费众筹,筹集成功,475,545,17,5,5.00,16,19,否,不确定,5,1,NOTFOUND,2014-08-22 00:00,155405,17,132
活动,62709,2014黑苹果青年先蜂营——我梦开始的地方,筹集结束,500,10,1,3,10.00,14,3,是,不确定,0,1,NOTFOUND,2014-08-23 00:00,11699,1,4
活动,62698,玩转众筹．上海——众筹会邀您与知名人士探讨众筹发展大计,筹集成功,5000,5096.01,48,4,88.00,12,49,否,不确定,0,2,NOTFOUND,2014-08-16 00:00,54178,48,57
活动,62493,疯狂汉语（CRAZY CHINESE）——外国人汉语培训基地,筹集结束,3000,87,3,4,29.00,26,5,否,项目结束后20天发送回报,0,1,NOTFOUND,2014-09-22 00:00,169925,4,119
活动,59955,跟逗比程序员一起做炖蛋,筹集成功,50,89,15,3,5.00,16,20,否,不确定,6,1,江苏省苏州市,2014-08-17 00:00,53712,16,53
活动,62418,追逐都市的田园梦——北京CBD首个屋顶菜园 ,筹集结束,15000,869,15,7,100.00,27,18,否,不确定,0,1,NOTFOUND,2014-09-01 00:00,62194,16,63
活动,61622,多重生活记录，一人一面软木板，用创意方式留住时间,筹集结束,50000,41750,384,5,50.00,10,387,否,项目结束后30天发送回报,4,2,NOTFOUND,2014-09-12 00:00,139818,386,20
