项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,公告数,评论数,是否制作视频,预计回报发送时间,粉丝数,发起人支持的项目数,发起人历史发起的项目次数,支持次数,最低投资支持人数,发起人所在地,项目结束时间
家居生活,344569,mlizhi智能肌肤水分检测仪,筹资成功,10000,24447,199,8,99.00,21,20,1,否,预计筹资结束后30天内,1,0,1,214,100,广东深圳,已经结束
家居生活,345576,健康生活倡导者—AirScale,筹资成功,20000,21281,76,6,10.00,15,17,0,是,预计筹资结束后30天内,0,0,1,82,25,广东中山,已经结束
家居生活,332381,赫马家庭能源管家- 安全、舒适、节能的用户侧能源管理专家,筹资成功,10000,22129,57,6,99.00,28,21,2,否,预计筹资结束后30天内,6,0,2,59,20,浙江杭州,已经结束
家居生活,343823,小云心脉：智能血压仪,筹资成功,20000,20954,32,5,358.00,10,16,0,是,预计筹资结束后7天内,0,2,1,37,30,上海闸北区,已经结束
家居生活,343395,告别电池和电磁辐射——世界首创新型免电池无线遥控插座,筹资成功,10000,20962,264,4,38.00,8,54,1,否,预计筹资结束后30天内,7,0,2,389,187,湖北武汉,已经结束
家居生活,319703,Cuball--红外智能家居控制中心,筹资成功,10000,19582,44,8,30.00,13,76,0,否,预计筹资结束后30天内,0,0,2,44,4,上海杨浦区,已经结束
家居生活,322598,PM2.5便携检测仪,筹资成功,20000,20720,25,7,15.00,25,52,3,是,预计筹资结束后5天内,27,2,2,27,4,广东深圳,已经结束
家居生活,347001,淘气熊智能奶瓶,筹资成功,10000,19294,90,7,55.00,23,13,0,是,预计筹资结束后8天内,0,0,1,103,24,上海闵行区,已经结束
家居生活,332869,史上最小巧USB加湿器， 办公人员的必备神器！,筹资成功,1000,18881,247,5,49.00,30,37,5,否,预计筹资结束后12天内,0,0,2,253,131,广东深圳,已经结束
家居生活,347139,E-touch手机理疗仪——越电越精神 充满正能量,筹资成功,10000,14789,126,7,99.00,24,22,1,否,预计筹资结束后7天内,0,0,2,131,97,广东深圳,已经结束
家居生活,339131,DreamLit助眠台灯,筹资失败,50000,14654,127,5,109.00,10,24,1,是,预计筹资结束后50天内,1,0,1,130,82,上海闵行区,已经结束
家居生活,318433,L-Remote 智慧遥控器,筹资成功,10000,14137,63,8,99.00,22,80,1,是,预计筹资结束后30天内,0,1,1,66,10,北京朝阳区,已经结束
家居生活,362010,漂洋过海，只为对你说声黑（xi）凤（huan）梨（ni）,筹资成功,10000,13310,203,7,15.00,59,9,35,否,预计筹资结束后45天内,283,0,1,241,140,NOTFOUND,已经结束
家居生活,321251,Zetta Z12智能监控摄像机－随时随地，轻松使用,筹资成功,10000,12548,47,9,20.00,14,44,1,是,预计筹资结束后15天内,1,0,1,47,6,香港沙田区,已经结束
家居生活,319014,多能智控星-家电小管家，节能好帮手,筹资成功,10000,12391,47,8,20.00,11,124,0,是,预计筹资结束后7天内,0,0,1,49,10,江西,已经结束
