项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
出版,116665,长篇小说《慎独》出版：给你的青春回忆一个可靠的出路,已成功,10000,10796,141,3,10.00,9,4,11,否,19,9,项目成功结束后立即发货,北京,已经结束
出版,15192,《给你一个门店，你该怎么管》教店长如何做最赚钱的门店,已成功,30000,31535,140,6,15.00,19,3,85,是,0,100,项目成功结束后20天内,北京,已经结束
出版,26986,体验《在路上，爱上从未有过的自己》赢取旅游基金，一起玩坏地球,已成功,1000,3779,139,3,1.00,6,3,57,否,0,29,项目成功结束后8天内,上海,已经结束
出版,115384,我们的孩子没问题！——芬兰儿童技能教养法大型论坛,已成功,20000,23276,131,5,58.00,14,3,4,否,55,57,项目成功结束后10天内,北京,已经结束
出版,159016,邀请您参与复活一本孤本古籍 《二十五史弹词辑注》,已成功,10000,12205,131,2,50.00,4,6,5,否,26,63,项目成功结束后立即发货,北京,已经结束
出版,601720,《中华花贴》——以花为画的新视觉艺术,已成功,10000,10058,129,7,5.00,28,6,20,否,11,66,项目成功结束后20天内,广东 广州,已经结束
出版,131128,张栋伟新著《实战众筹》：玩转众筹之实战手册,已成功,100000,149562,129,4,198.00,1,12,51,否,4,91,项目成功结束后30天内,北京,已经结束
出版,121963,《此生未完成》精装版——纪念于娟,已成功,5000,45000,128,2,42.00,6,5,28,否,16,33,项目成功结束后60天内,上海,已经结束
出版,151432,出版《浪花，“浪花”——吴一舟作品及其主义》，以绘画方式表达对世界和人生的理解,已成功,60000,62616,128,5,128.00,5,6,57,否,31,46,项目成功结束后60天内,浙江 杭州,已经结束
出版,478912,P2P跑路、买REITs后家破人亡、亚投行的前途……资深金融专家告诉你金融创新的真相,已成功,30000,31680,126,5,5.00,3,0,12,否,27,12,项目成功结束后立即发货,上海,已经结束
出版,15730,《法律是个球》——一位卸甲从文律师的行思录,已成功,30000,31000,124,3,100.00,6,3,44,否,0,69,项目成功结束后60天内,上海,已经结束
出版,83563,痛到极处，爱是拯救—80后美丽女孩、“河北张海迪”高建芳《不忍告诉你，痛有多美》,已成功,10000,12140,123,7,30.00,16,7,23,否,13,68,项目成功结束后10天内,河北 张家口,已经结束
出版,283699,不务正业的诗人  范思朦  关于一个生命的《最后的信仰》,已成功,15000,15130,122,4,46.00,9,10,40,否,26,59,项目成功结束后立即发货,四川 南充,已经结束
出版,15719,一起来玩，一起创造未来—— 《我是90后，我是创业家》,已成功,15000,17206,122,4,48.00,17,3,84,是,0,99,项目成功结束后15天内,北京,已经结束
出版,185674,《知识+实践的秘密》震撼呈现，不容错过！,已成功,80000,86328,121,5,8.00,5,12,47,否,0,24,项目成功结束后15天内,北京,已经结束
出版,455335,一起写下猫咪陪你度过的岁月,已成功,10000,11334,121,6,5.00,5,4,26,否,27,12,项目成功结束后30天内,北京,已经结束
出版,55156,你的《新媒体时代》,已成功,10000,15765,121,6,29.00,6,5,15,否,4,77,项目成功结束后10天内,北京,已经结束
出版,263200,《实战众筹》：2年众筹实战经验的教科级宝典【第一期】,已成功,500,26789,121,1,198.00,1,9,49,否,7,111,项目成功结束后立即发货,河南 郑州,已经结束
出版,292525,木性药考——中国传统家具用材的药用价值研究,已成功,10000,15539,120,4,68.00,9,7,28,否,6,103,项目成功结束后立即发货,北京,已经结束
出版,56119,程慧：《移动互联网的秘密》 新书众筹进行时,已成功,20150,20610,119,2,50.00,2,3,15,否,3,37,项目成功结束后立即发货,北京,已经结束
出版,332353,“权威译本 传统线装 纪念莎翁逝世四百周年 《莎士比亚十四行诗》限量珍藏本”,已成功,30000,32550,119,1,50.00,11,9,43,是,31,26,项目成功结束后30天内,上海,已经结束
出版,14613,《志愿者正能量》图书出版,已成功,30000,30150,118,6,35.00,11,3,21,否,0,62,项目成功结束后65天内,湖北 武汉,已经结束
出版,14874,单车上的对冲基金——美国华尔街骑行,已成功,35000,35016,117,4,28.00,13,3,7,是,0,14,项目成功结束后60天内,上海,已经结束
出版,25513,《打开诗的漂流瓶》《热爱，是的》——陈超诗文珍藏版,已成功,50000,58026,116,3,158.00,2,3,17,否,2,84,项目成功结束后20天内,河北 石家庄,已经结束
出版,17595,父母学堂，儿童书馆——第二书房北京金中都图书馆开馆啦,已成功,500000,553013,116,6,1.00,12,3,25,否,0,33,项目成功结束后30天内,北京,已经结束
出版,41521,《自媒体的力量》：分享优秀自媒体人的前沿思想和运营经验,已成功,50000,53671,116,5,39.00,4,3,17,否,0,95,项目成功结束后15天内,北京,已经结束
出版,134860,《放缓脚步寻找有温度的工厂》——台湾的另类旅游，体验经济新形态,已成功,10000,16631,116,6,1.00,6,7,14,否,4,17,项目成功结束后20天内,北京,已经结束
出版,555154,《笺谱日历》：用最文艺的方式拥抱新年,已成功,10000,14302,115,5,58.00,15,8,24,否,15,39,项目成功结束后7天内,河南 郑州,已经结束
出版,347023,帮你轻松买到好保险的工具类参考用书《好险》：让你头不疼，心不烦,已成功,10800,12608,112,6,68.00,2,8,21,否,6,52,项目成功结束后60天内,上海,已经结束
出版,401389,《让天下没有难做的销售》：销售经营的至尊法宝，市场营销的速成宝典,已成功,10000,10252,112,7,10.00,8,4,25,否,7,13,项目成功结束后20天内,浙江 杭州,已经结束
出版,541354,江南女子在纽约“说男论女”,已成功,15000,15138,111,5,1.00,10,0,44,否,36,26,项目成功结束后60天内,北京,已经结束
出版,323749,《跨界对话：公益项目实战宝典》新书众筹 | 真人真项目真观点,已成功,10000,11473,111,4,1.00,11,16,40,否,8,39,项目成功结束后90天内,北京,已经结束
出版,5969,用众筹写《众筹》——国内首本社交众筹著作,已成功,80000,82675,111,7,1.00,12,3,60,否,0,25,项目成功结束后3天内,北京,已经结束
出版,13299,众多名人推荐的《成名指南》一书出版众筹,已成功,50000,56535,110,19,18.00,27,3,66,是,0,20,项目成功结束后45天内,北京,已经结束
出版,5057,距离蓝天最近的地方等你,已成功,5000,6260,110,4,10.00,7,6,12,否,15,32,项目成功结束后10天内,北京,已经结束
出版,586393,我跟你讲，爱因斯坦小时候都看这样的书,已成功,6000,7988,110,3,2.00,7,0,12,否,3,44,项目成功结束后30天内,北京,已经结束
出版,97678,共著一本献给父老乡亲的书——《中国赣剧饶河戏》,已成功,52000,55936,110,6,50.00,4,4,9,是,26,21,项目成功结束后60天内,江西 上饶,已经结束
出版,5542,《玩转众筹》—全球首部全程众筹实战指南,已成功,1000,10818,108,2,1.00,7,3,25,否,0,18,项目成功结束后12天内,北京,已经结束
出版,547426,“一带一路”大实践，图书众筹！,已成功,5000,6411,108,4,2.00,22,5,25,否,15,68,项目成功结束后立即发货,北京,已经结束
出版,170719,《中国工艺美术大师》,已成功,10000,10095,108,2,1.00,1,4,22,否,24,47,项目成功结束后60天内,江苏 南京,已经结束
出版,8151,《互联网金融法律与风险控制》深度解析行业风险,已成功,50000,88090,107,1,60.00,4,3,17,否,0,66,项目成功结束后15天内,北京,已经结束
出版,170761,“互联网+企业”  重构8大运营体系的模式与方法,已成功,20000,20175,107,7,6.00,11,5,25,否,3,38,项目成功结束后20天内,上海,已经结束
出版,357220,《沙漠也不再有了》众筹出版——读本有趣的书，做个有趣的人,已成功,20000,20051,107,2,50.00,1,6,33,否,34,61,项目成功结束后14天内,广东 广州,已经结束
出版,90685,乐嘉老师新书《本色》限时抢筹,已成功,500,572,107,1,1.00,2,4,47,否,0,57,项目成功结束后7天内,北京,已经结束
出版,18722,《创意中原·典藏艺术中国》出版项目,已成功,3000,3053,106,8,3.00,8,3,37,否,0,25,项目成功结束后15天内,河南 郑州,已经结束
