项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
农业,25498,水域山沙棘汁——为草原荒漠化治理出力，收获健康美丽,已成功,150000,152150,217,6,20.00,12,3,43,否,0,40,项目成功结束后30天内,内蒙古 鄂尔多斯,已经结束
农业,473317,东北自家笨榨豆油,已成功,1000,1013,217,3,2.00,8,8,1,否,10,8,项目成功结束后3天内,吉林,已经结束
农业,126634,怪咖“众”茶：西湖龙井（爆品1号）,已成功,107200,116909,217,3,268.00,15,3,10,是,17,158,项目成功结束后立即发货,浙江 杭州,已经结束
农业,296281,【陇南电商扶贫专供产品】蜂蜜●枸杞●茶   爱的组合   给冬天一个家,已成功,13908,14255,215,7,1.00,21,15,50,是,3,183,项目成功结束后7天内,甘肃 陇南,已经结束
农业,175504,来自世界硒都恩施宣恩黄金梨，总理两次亲访，县长亲自代言,已成功,15000,23041,214,6,39.00,10,20,54,否,8,44,项目成功结束后3天内,湖北 恩施,已经结束
农业,233080,正秋茶铁观音 寻找一份真正质朴的茶,已成功,20000,22660,214,3,68.00,2,6,26,否,50,89,项目成功结束后立即发货,福建 厦门,已经结束
农业,258781,小时候的酱油，小时候的味道,已成功,5000,5686,213,3,1.00,16,15,91,是,7,78,项目成功结束后3天内,云南 昆明,已经结束
农业,501862,宁县桥子村原生态老树青皮核桃--青年电商在行动“爱心义卖”,已成功,10000,10313,211,1,29.00,12,7,22,否,18,58,项目成功结束后10天内,甘肃 庆阳,已经结束
农业,26308,众筹陕西周至华优黄心猕猴桃,已成功,6000,16806,210,5,1.00,17,4,48,否,7,151,项目成功结束后8天内,陕西 西安,已经结束
农业,178015,纯绿色无污染稻鸭米种植,已成功,30000,31061,210,4,1.00,4,5,18,否,2,109,项目成功结束后15天内,湖南 株洲,已经结束
