项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
公益,176827,用5元爱心善款，圆宜都贫困学子大学梦,已成功,20000,24715,286,7,5.00,6,5,30,否,24,86,项目成功结束后5天内,湖北 宜昌,已经结束
公益,161104,冀北平原，筑梦三汲乡——清华大学赴河北平山爱心支教项目,已成功,7300,7699,284,6,10.00,12,4,15,否,56,163,项目成功结束后立即发货,河北 石家庄,已经结束
公益,421708,陇上江南 红色福地~一份来自甘肃两当的邀请!,已成功,10000,22187,284,10,2.00,27,4,3,否,149,26,项目成功结束后7天内,甘肃 陇南,已经结束
公益,246,捐助雅安 先锋集团第二次筹款项目,已成功,500000,576990,283,10,5.00,2,3,3,否,0,15,项目成功结束后10天内,北京,已经结束
公益,615862,一万米的梦想——上学路上要有光,已成功,10000,13428,282,3,19.00,5,0,77,是,207,32,项目成功结束后30天内,北京,已经结束
公益,500323,洪灾后我们为您遮风挡雨——为“孤寡老人”修房子,已成功,80000,80560,282,6,50.00,5,0,25,否,183,42,项目成功结束后15天内,湖北 武汉,已经结束
公益,20339,捐一支疫苗，帮助贵州桐梓地区消灭狂犬病,已成功,73500,73660,282,6,19.00,18,3,26,是,3,166,项目成功结束后30天内,北京,已经结束
公益,434302,第一书记的“水井梦”，想给喝水难的村民扎一口甘甜的深井,已成功,10000,10787,279,2,10.00,9,2,21,否,233,37,项目成功结束后15天内,山西 吕梁,已经结束
公益,486115,“多彩书包多彩梦”爱心公益书包众筹活动。关爱贫困儿童、留守儿童！,已成功,50000,50104,279,4,1.00,2,5,18,否,64,50,项目成功结束后立即发货,江西 南昌,已经结束
公益,603418,贫瘠之地 极品山羊│陕北黄土高原上“第一书记”的用心良苦,已成功,200000,204732,278,6,199.00,37,7,56,是,111,20,项目成功结束后7天内,陕西 榆林,已经结束
公益,22389,【海航社会创新创投】金色瑶篮——一茶一天堂,已成功,20000,34294,276,7,1.00,11,3,7,是,0,254,项目成功结束后30天内,广西 来宾,已经结束
公益,442150,幸福之家留守儿童心灵成长项目,已成功,30000,30417,275,5,10.00,3,7,5,否,218,27,项目成功结束后60天内,重庆,已经结束
公益,498019,一头牛托起贫困户的幸福生活,已成功,15000,15072,274,5,20.00,9,0,15,否,207,32,项目成功结束后10天内,山西 吕梁,已经结束
公益,475993,古稀又如何，单骑重走长征路不只是梦,已成功,60000,60060,273,5,5.00,10,9,24,否,67,58,项目成功结束后30天内,北京,已经结束
公益,610129,一杯好茶，一片爱心，坠落人间的天使，星星的孩子在等你,已成功,100000,100281,273,3,100.00,20,0,19,否,28,106,项目成功结束后15天内,北京,已经结束
公益,132571,家乡情，民族梦——湘西学子返乡公益行，土家文化旅,已成功,7105,7266,273,4,20.00,9,4,28,是,163,78,项目成功结束后立即发货,湖南 湘西,已经结束
公益,128740,白血病患儿病房爱心小课堂,已成功,30000,31781,272,3,30.00,5,3,3,否,119,70,项目成功结束后15天内,重庆,已经结束
公益,317758,2.14【为爱奔跑】3天6个马拉松只为帮助最美男孩,已成功,20000,26436,271,4,28.00,7,8,25,是,120,40,项目成功结束后30天内,浙江 杭州,已经结束
公益,434272,【县长众筹】吕梁方山野生沙棘圆孩子“科普屋”梦,已成功,150000,153068,269,7,10.00,14,10,50,否,71,39,项目成功结束后7天内,山西 吕梁,已经结束
公益,48073,“富足心灵”图书行动——为鲁甸乐红乡村小学筹1000册图书,已成功,25000,27180.01,267,6,1.00,10,3,17,否,33,49,项目成功结束后立即发货,云南 昭通,已经结束
公益,155854,贵州侗乡山村小学儿童梦想图书室公益项目,已成功,15000,17337,265,2,30.00,4,14,4,是,35,120,项目成功结束后15天内,贵州 黔东南,已经结束
公益,361510,抗战老兵土屋被烧，他有一个安居的心愿,已成功,10000,12776,265,0,100.00,8,16,26,否,230,35,项目成功结束后立即发货,四川 德阳,已经结束
公益,434668,为瑶族乡偏远山区小学的留守儿童带去希望,已成功,4000,4734,264,3,1.00,12,12,22,否,83,62,项目成功结束后立即发货,湖南 永州,已经结束
公益,600292,一片岛屿上老人的梦,已成功,5000,5350,263,4,1.00,8,5,20,否,50,6,项目成功结束后立即发货,福建 莆田,已经结束
公益,441187,走出自闭，拥抱阳光！--感受孤独的灵魂，融化冰封的心灵,已成功,30000,30126,262,2,50.00,9,9,8,否,238,17,项目成功结束后立即发货,重庆,已经结束
公益,385591,我们想喝上热水！,已成功,19000,19102,262,3,10.00,5,6,23,否,216,6,项目成功结束后立即发货,河南 焦作,已经结束
公益,3090,一元钱种一棵山茶树——为环保加油 为绿化出力,已成功,1000,1282,262,3,1.00,10,3,19,否,0,242,项目成功结束后40天内,广东 深圳,已经结束
公益,154222,"""梦之翼""赴湘西州吉首市双塘镇口腔健康检查暑期社会实践活动",已成功,5000,5053,261,4,10.00,6,4,3,否,20,199,项目成功结束后立即发货,湖南 湘西,已经结束
公益,123043,护苗计划星火支教团队——为南咀小学的孩子筹集卫生包,已成功,3500,5413,261,4,5.00,12,3,1,否,60,77,项目成功结束后80天内,甘肃 白银,已经结束
公益,109333,【牵手鄞州】民间环境观察——动动手指 污染消失,已成功,29314,33320,257,3,25.00,4,3,4,否,202,32,项目成功结束后20天内,浙江 宁波,已经结束
公益,431422,关爱留守儿童，爱心黄芪公益助学,已成功,5000,5021,255,3,10.00,8,11,2,否,15,6,项目成功结束后立即发货,甘肃 陇南,已经结束
公益,382288,十字绣工鞋垫，帮一个村庄残疾人和贫困户妇女稳定脱贫,已成功,10000,13247,253,3,49.00,3,4,0,否,1,200,项目成功结束后3天内,甘肃 陇南,已经结束
公益,571243,八旬老兵的执念，去北京，看看我们的天安门,已成功,10000,10303,251,3,10.00,13,4,30,否,60,39,项目成功结束后立即发货,湖南 湘西,已经结束
