项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
艺术,223828,《晶莹剔透，生命的沉淀》——菩提根手串,已成功,600,1047,29,2,3.00,11,8,23,否,0,21,项目成功结束后15天内,陕西 宝鸡,已经结束
艺术,636561,最值得春节期间推荐的“文艺伴手礼”——“春联套装“,众筹中,20000,2511,27,3,2.00,10,0,6,否,1,NOTFOUND,支持者付款后2天内,NOTFOUND,已经结束
艺术,11199,【树德香堂】纯天然中药药香 私家配方秘制而成,已成功,1500,8740,27,4,100.00,30,3,77,是,0,8,项目成功结束后10天内,北京,已经结束
艺术,46252,【众筹一个与众不同的礼物】一个平面设计师的跨界梦想,已成功,11970,15821,27,2,399.00,10,3,8,否,2,19,项目成功结束后20天内,广东 佛山,已经结束
艺术,25267,灵石传说—邀您认识上谷战国红,已成功,4000,11422,26,4,89.00,15,3,28,是,0,1,项目成功结束后10天内,河北 张家口,已经结束
艺术,48250,《素写•留白》行走系列明信片,已成功,2000,2055,26,5,5.00,4,3,10,否,1,7,项目成功结束后10天内,北京,已经结束
艺术,169720,收藏臻品—【活化石崖柏】,已成功,2000,2442,26,3,59.00,6,6,19,否,1,4,项目成功结束后10天内,广西 南宁,已经结束
艺术,364021,手绘星云系列牛皮鼠标垫,已成功,10000,10052,26,3,269.00,36,4,18,否,10,11,项目成功结束后40天内,北京,已经结束
艺术,6414,当代国画大师李小白 壶画配艺术作品,已成功,30000,107800,26,2,30.00,21,3,4,否,0,10,项目成功结束后5天内,江苏 南京,已经结束
艺术,190294,它只献给懂得感恩的您－专属卫衣,已成功,3000,4413,26,5,8.00,12,4,30,是,2,0,项目成功结束后10天内,福建 厦门,已经结束
艺术,12620,中国好文玩 与您分享优雅时光,已成功,3000,4280,26,5,100.00,15,3,22,否,0,9,项目成功结束后7天内,北京,已经结束
艺术,191779,【习古堂建盏】中国非物质文化遗产-建盏老匠：阙梅娇,已成功,8000,21400,26,2,688.00,26,4,17,否,1,5,项目成功结束后立即发货,福建 南平,已经结束
艺术,186727,抄底价—与您相约紫檀盛宴,已成功,2000,3640,26,3,140.00,13,4,55,否,1,14,项目成功结束后8天内,广西 南宁,已经结束
艺术,100834,【菩提物语】钥匙上的菩提,已成功,1000,1082,25,3,18.00,12,4,13,否,0,2,项目成功结束后立即发货,河北 秦皇岛,已经结束
艺术,171709,晶莹剔透，生命的沉淀,已成功,1000,1161,25,2,1.00,18,7,10,否,0,17,项目成功结束后15天内,陕西 宝鸡,已经结束
艺术,385348,宜兴原矿紫泥石瓢 实力老艺人实力奉献,已成功,2000,4682,25,5,1.00,6,18,37,否,3,4,项目成功结束后28天内,江苏 无锡,已经结束
艺术,87796,【缘木】  壮族小伙开店梦再次起航,已成功,5000,9998,25,5,168.00,24,3,50,否,0,8,项目成功结束后7天内,广西 南宁,已经结束
艺术,109804,手拉坯柴烧茶器——年轻手作人的坚持,已成功,3000,3000,25,6,20.00,10,1,13,是,11,2,项目成功结束后立即发货,福建 泉州,已经结束
艺术,354751,手工微缩古典吉他 1:5 制琴师真实制作工序 可演奏音色好 托雷斯结构,已成功,1000,2114,24,3,6.00,16,13,30,否,2,10,项目成功结束后立即发货,上海,已经结束
艺术,13409,相约紫檀——80后小店的古典梦想,已成功,5000,11836,24,3,8.00,10,3,76,否,0,0,项目成功结束后10天内,辽宁 沈阳,已经结束
艺术,336307,圣掿凡艺术俱乐部《艺术家专访》项目,已成功,10000,10060,23,5,50.00,4,6,9,是,6,7,项目成功结束后立即发货,上海,已经结束
艺术,361402,会说话的【礼】,已成功,3000,3036,23,6,2.00,8,8,0,否,0,1,项目成功结束后3天内,广东 佛山,已经结束
艺术,131215,【历历珠玑】-您的专属菩提,已成功,3000,6120,23,3,188.00,16,4,7,否,7,1,项目成功结束后7天内,北京,已经结束
艺术,297064,噏东北轼,已成功,1000,1017,23,4,10.00,5,7,25,否,7,10,项目成功结束后立即发货,黑龙江 黑河,已经结束
