项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
其他,130015,Supower移动电源[免费换新]万能集成+无线充电+无需带线,已成功,3000,4020,282,5,1.00,19,10,343,是,1,239,项目成功结束后15天内,山东 枣庄,已经结束
其他,67096,潮Link——智能iBeacon基站,已成功,30000,196885,279,6,58.00,5,3,143,否,1,243,项目成功结束后立即发货,浙江 杭州,已经结束
其他,539353,深圳外国语学校FRC机器人队VOYAGER,已成功,20000,31105,279,5,6.00,17,4,30,是,121,40,项目成功结束后40天内,广东 深圳,已经结束
其他,380950,SOYES H1全金属智能触控卡片手机【万万没想到，第三期归来】,已成功,500,1038,276,3,1.00,24,6,16,是,2,3,项目成功结束后立即发货,广东 深圳,已经结束
其他,200353,微运动神器——小巧静音智能计步双向踏步机,已成功,50000,51136,276,5,1.00,10,6,41,否,3,148,项目成功结束后立即发货,上海,已经结束
其他,174595,金属机械键盘,已成功,10000,11345,275,5,1.00,16,6,63,否,0,260,项目成功结束后15天内,广东 深圳,已经结束
其他,11171,D-Link云监控摄像头——随时随地监控你的地盘,已成功,20000,43552,274,3,129.00,2,3,229,是,0,50,项目成功结束后60天内,上海,已经结束
其他,135328,Yomotion 遥控拍照的智能手环,已成功,1000,11635,274,3,1.00,10,7,316,否,0,191,项目成功结束后1天内,山东 枣庄,已经结束
其他,452218,致青春——上海海事大学，垒球少女们的全国梦,已成功,20000,20000,270,3,99.00,13,4,41,否,244,9,项目成功结束后7天内,上海,已经结束
其他,151975,最具性价比的智能超薄静音三位一体扫拖地机器人,已成功,10000,59758,265,8,10.00,54,8,121,是,0,149,项目成功结束后15天内,广东 茂名,已经结束
其他,597934,珍眼夫草本舒心睡罩,已成功,20178,20856,265,5,1.00,20,5,11,否,19,41,项目成功结束后30天内,广东 广州,已经结束
其他,261583,手机无线充电器--无线自由，无拘无束！,已成功,2000,5298,264,4,1.00,1,11,104,否,7,200,项目成功结束后7天内,广东 深圳,已经结束
其他,652044,也许是你一辈子都不会放弃的内裤,众筹中,50000,8086,264,0,28.00,11,7,13,否,19,NOTFOUND,项目成功结束后20天内,NOTFOUND,39天
其他,19264,电容量升级——新版Transcend 3.0 第三代智能双叠电移动电源,已成功,30000,32589,262,4,48.00,18,3,265,否,0,198,项目成功结束后15天内,广东 深圳,已经结束
其他,232627,手推式扫地机，家家一个，轻松持家！,已成功,10000,12204,260,4,38.00,29,4,77,否,1,188,项目成功结束后立即发货,福建 泉州,已经结束
其他,156583,Kingtime智能手表 能插卡上微信的超级手表,已成功,1000,14699,259,4,3.00,22,5,238,否,3,215,项目成功结束后10天内,山东 枣庄,已经结束
其他,6205,《插画圈 · 宴Ⅱ》 以画画的名义坚持梦想,已成功,5000,33120,255,5,10.00,9,3,60,否,0,1,项目成功结束后20天内,上海,已经结束
其他,177775,佑克-骨传导头戴式蓝牙耳机,已成功,10000,11457,255,5,1.00,5,7,52,是,2,85,项目成功结束后7天内,江苏 苏州,已经结束
其他,154555,水龙头安全套——家用净水神器，5秒就能搞定安装的净水器（第二期）,已成功,30000,32558,254,3,1.00,37,4,143,否,2,99,项目成功结束后3天内,广东 东莞,已经结束
其他,285535,全国首款水上漂脱钩器,已成功,10000,13243,250,7,35.00,23,10,58,是,4,100,项目成功结束后36天内,辽宁 沈阳,已经结束
其他,401317,天巧坊端午节粽子礼盒套装,已成功,2000,3126,249,4,1.00,6,19,30,否,6,9,项目成功结束后10天内,山东 青岛,已经结束
其他,179530,XFone8蓝牙手机耳机—耳机1秒变手机,已成功,10000,104129,247,6,2.00,4,9,148,否,1,184,项目成功结束后15天内,天津,已经结束
其他,22065,iLove智能情趣玩具iPhone和Android自由操控——全球首发,已成功,200000,320944,244,5,239.00,15,3,190,否,0,100,项目成功结束后10天内,北京,已经结束
其他,237088,涠洲岛太阳茶客栈，邀请你来和这片海一起数星星,已成功,30000,31374,244,4,1.00,17,7,127,否,36,166,项目成功结束后立即发货,广西 北海,已经结束
其他,160486,让咖啡温暖你的身体，让猫咪抚慰你的心灵,已成功,200000,200006,244,6,1.00,13,15,23,否,40,27,项目成功结束后立即发货,浙江 衢州,已经结束
其他,205870,在家玩自造，从你的第一台小盒3D打印机开始,已成功,60000,63584,244,4,1.00,19,12,112,是,14,210,项目成功结束后45天内,广东 广州,已经结束
其他,148453,Easyrun智能手表-可触屏的蓝牙通话表,已成功,1000,11082,236,5,1.00,13,5,378,否,1,171,项目成功结束后10天内,山东 枣庄,已经结束
其他,507694,创龙OMAP-L138 DSP+ARM双核开发板,已成功,50000,75356,236,9,5.00,21,1,23,否,13,73,项目成功结束后40天内,广东 广州,已经结束
其他,6377,【造龙师·莲羊】设计绘制全新手抄本心经·龙,已成功,50000,100864,236,3,78.00,18,3,81,是,0,188,项目成功结束后15天内,北京,已经结束
其他,386221,【微型投影仪】葡乐视IDEA WIFI智能微型投影仪，办公娱乐一体投影仪,已成功,10000,26633,236,2,0.00,15,17,72,否,214,22,项目成功结束后立即发货,广东 深圳,已经结束
其他,367354,安克防晕止吐夹 —您身边的多用穴位理疗器！,已成功,5000,6620,233,6,1.00,11,29,48,否,12,34,项目成功结束后5天内,上海,已经结束
其他,330601,您身边的空气检测专家,已成功,10000,10256,232,4,1.00,5,9,15,否,12,10,项目成功结束后30天内,广东 深圳,已经结束
其他,114739,TCL观影王真4K版众测，等你来！,已成功,500,1161,232,0,5.00,13,4,61,否,3,229,项目成功结束后立即发货,广东 惠州,已经结束
