项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
娱乐,3582,【众筹网-声演坊】爱尔兰乐队Altan 首次中国巡演 上海站,已成功,1000,1000,5,5,80.00,4,6,0,是,0,3,项目成功结束后3天内,上海,已经结束
娱乐,5933,【众筹网-声演坊】Elsa Kopf 2014年中国巡演·长沙站,已成功,1000,1000,5,3,40.00,6,6,0,是,0,1,项目成功结束后5天内,湖南 长沙,已经结束
娱乐,13125,【众筹网-声演坊】Monta 2014年中国巡演·成都站,已成功,1000,1020,5,3,60.00,6,3,0,是,0,1,项目成功结束后5天内,四川 成都,已经结束
娱乐,10831,【众筹网-声演坊】Ashram 2014年中国巡演·北京站,已成功,1000,1080,5,3,120.00,7,3,0,是,0,3,项目成功结束后5天内,北京,已经结束
娱乐,11833,【欧洲万像】《美人邦》都市时尚情感轻喜剧,已成功,2000,2200,5,8,10.00,19,3,0,是,0,0,项目成功结束后30天内,北京,已经结束
娱乐,12674,【众筹网-声演坊】Miaou 2014年中国巡演·武汉站,已成功,1000,1020,5,3,60.00,7,3,0,是,0,1,项目成功结束后5天内,湖北 武汉,已经结束
娱乐,13118,【众筹网-声演坊】Monta 2014年中国巡演·重庆站,已成功,1000,1020,5,3,60.00,6,3,0,是,0,1,项目成功结束后5天内,重庆,已经结束
娱乐,13130,【众筹网-声演坊】Monta 2014年中国巡演·广州站,已成功,1000,1020,5,3,60.00,6,3,0,是,0,1,项目成功结束后5天内,广东 广州,已经结束
娱乐,14196,【众筹网-声演坊】Erica Mou 2014年中国巡演·天津站,已成功,1000,1020,5,3,60.00,7,3,0,是,0,1,项目成功结束后5天内,天津,已经结束
娱乐,14226,【众筹网-声演坊】Erica Mou 2014年中国巡演·深圳站,已成功,1000,1020,5,3,60.00,7,3,0,是,0,1,项目成功结束后5天内,广东 深圳,已经结束
娱乐,18065,【众筹网-声演坊】Meiko2014中国巡演 广州站,已成功,1000,1020,5,3,60.00,6,3,1,是,0,1,项目成功结束后5天内,广东 广州,已经结束
娱乐,46321,【声演坊】瑞典后摇乐团Dorena2015中国巡演·深圳站,已成功,1000,1002,5,3,70.00,4,3,0,是,0,0,项目成功结束后5天内,广东 深圳,已经结束
娱乐,10692,《忘记恋爱的药》：影像心浪潮2014最佳类型季提案,已成功,3000,5900,4,3,50.00,5,3,4,否,0,0,项目成功结束后5天内,北京,已经结束
娱乐,13034,【众筹网-声演坊】Bang Gang2014年中国巡演·广州站,已成功,1000,1426,4,4,70.00,7,3,1,是,0,1,项目成功结束后5天内,广东 广州,已经结束
娱乐,15936,《后青春期综合症》：影像心浪潮2014最佳类型季提案,已成功,3000,3000,4,4,100.00,0,3,1,是,0,0,项目成功结束后6天内,北京,已经结束
