项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
动漫,13025,《樱桃小丸子》限量版邮政官方新年明信片、邮资封套装,项目成功,2888.00,20946.00,637,0,0.00,1,0,199,2015/04/03,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,12821,《名侦探柯南》限量版明信片套装第二季火热来袭,项目成功,2888.00,20116.00,454,0,0.00,3,0,360,2015/03/31,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,10607,变化的不是世界，而是心情,项目成功,5000.00,15403.00,549,0,0.00,23,0,413,2015/03/01,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,17990,新世纪福音战士  官方授权AR收藏卡,项目成功,10000.00,33800.00,293,4,20.00,2,0,171,2015/05/09,是,156,35,"-,,"
动漫,12711,一只小猪的幸福里程,制作中,5000.00,5279.00,74,6,28.00,12,0,16,2015/04/12,否,2,7,"淘宝-,,"
动漫,12917,《Somewhere-100个女孩》故事系列明信片,项目成功,1000.00,4170.00,83,3,30.00,12,0,117,2015/03/29,否,37,5,"淘宝-,,"
动漫,9553,为梦想点灯 —— 和漫画大触天朝羽学插画,项目成功,10000.00,13700.00,412,4,20.00,2,5,266,2015/03/21,否,295,10,"淘宝-4.8,4.8,4.9"
动漫,7768,90后动漫创业者不忘初心，“小穷大方”穷且快乐着,项目成功,7900.00,8554.00,116,0,0.00,4,1,132,2015/02/18,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,9149,一个城市一个动漫梦-痛杭州,项目成功,50000.00,76913.00,826,0,0.00,12,1,272,2015/02/17,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,15666,儿时梦想带回家—《大闹天宫》之限量版Q版孙悟空摆件,项目成功,20000.00,40150.00,135,3,10.00,5,0,220,2015/05/26,否,35,15,"淘宝-,,"
动漫,7973,史上最萌邮册《小邮逗生肖》开始众筹啦~~~,项目成功,6000.00,18868.00,130,0,0.00,26,0,90,2015/01/29,否,NOTFOUND,NOTFOUND,"淘宝-,,"
动漫,7285,《变形金刚》30周年限量版邮品,项目成功,4000.00,39210.00,208,0,0.00,1,0,319,2015/02/23,否,NOTFOUND,NOTFOUND,"淘宝-,,"
