项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
其他,10089356,开家甜品店－实现每个女人的甜品梦,项目成功,100000.00,118009.00,871,0,0.00,7,1,1822,2016/08/20,否,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,20044336,JNE X 德国SympaTex 100%防水风衣,项目成功,150000.00,153300.00,123,4,50.00,9,0,945,2016/09/03,否,0,10,"天猫-4.9,4.9,4.9"
其他,20043990,赵薇邀您共享梦陇晚宴品红酒,项目成功,100000.00,291184.00,288,13,19.00,29,0,584,2016/09/20,否,37,15,"天猫-4.8,4.8,4.8"
其他,10084805,6天就会用英语—无障碍出国自由行,项目成功,30000.00,95278.30,87,4,19.90,3,0,290,2016/07/30,否,17,15,"淘宝-,,"
其他,10083259,一起开家小而温暖的书店  猫空第37家门店众筹,项目成功,20000.00,131740.00,1482,7,20.00,25,0,1315,2016/07/07,否,753,30,"天猫-4.9,4.9,4.9"
其他,20044117,一座城 一份情 一碗老酒 古城窖藏 黄酒北宗,项目成功,50000.00,52906.00,94,5,129.00,28,0,1217,2016/09/22,否,54,5,"天猫-4.9,4.9,4.8"
其他,10090911,【美国GOODYEAR】草坪丝圈脚垫里约定制限量款,项目成功,100000.00,110635.00,275,8,39.00,44,0,1167,2016/09/08,是,79,1,"-4.8,4.8,4.8"
其他,10091116,筹建农业生态学馆-孩子的梦想从这里出发,项目成功,50000.00,123182.00,5295,1,9.90,5,0,3213,2016/09/19,否,NOTFOUND,15,"淘宝-4.9,4.9,4.6"
其他,10071162,【九蒸九晒黑芝麻蜂蜜丸】遵循古方，还原百年制作工艺,项目成功,50000.00,67336.00,362,5,58.00,16,10,1027,2016/05/29,否,50,30,"淘宝-,,"
其他,10083645,【九蒸九晒黑芝麻蜂蜜丸】遵循古方，还原百年制作工艺,项目成功,50000.00,57088.40,489,5,19.90,16,0,523,2016/08/06,否,256,30,"淘宝-,,"
其他,10067026,性福没有那么容易，套套安全是大事,项目成功,2000.00,4678.00,856,0,0.00,1,0,1014,2016/05/09,否,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,10070020,【德国直供】我的手工巧克力博物馆之旅,项目成功,50000.00,1034927.90,331119,1,0.00,6,10,2099,2016/06/21,否,NOTFOUND,15,"淘宝-4.6,4.6,4.6"
