项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
娱乐,25134,《抓住彩虹的男人》请大声说出我爱你！,项目成功,10000.00,19462.00,765,0,0.00,8,0,247,2015/06/22,是,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10044640,《港囧》官方授权，时尚防霾款口罩三个装,项目成功,5000.00,12877.00,376,4,19.00,15,0,245,2015/10/25,否,99,15,"-,,"
娱乐,23361,《奔跑吧兄弟》大黑牛暖心定制——属于你的黑牛帽,项目成功,10000.00,93121.00,4157,9,25.00,2,0,887,2015/06/09,否,167,1,"淘宝-5.0,5.0,4.6"
娱乐,23282,不一样的张馨予的造梦行动,项目成功,20000.00,88625.60,839,9,19.90,6,0,188,2015/06/09,是,46,60,"淘宝-,,"
娱乐,31537,《风暴英雄》我要与众不同,项目成功,5000.00,113624.00,624,4,39.00,5,0,895,2015/08/11,是,150,15,"-,,"
娱乐,24271,“童年的节奏”阿里巴巴娱乐宝+G.E.M.邓紫棋,制作中,500000.00,592583.00,33397,6,35.00,1,0,1802,2015/06/24,是,900,60,"淘宝-,,"
娱乐,20872,帅青春——闯入王小帅的电影空间,项目成功,4300.00,5967.00,849,0,0.00,12,1,178,2015/05/05,是,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,10055768,NPC x《恶棍天使》联名系列产品巨献,项目成功,5000.00,34513.00,197,1,99.00,9,0,1847,2015/12/23,否,14,5,"-,,"
娱乐,29470,你就是我的命中注定,项目成功,10000.00,21137.37,627,6,1.99,23,0,342,2015/08/05,是,463,20,"淘宝-,,"
娱乐,12272,万应许愿，新春吉祥,项目成功,10000.00,126158.00,1583,0,0.00,19,0,1001,2015/03/12,是,NOTFOUND,NOTFOUND,"淘宝-,,"
娱乐,20085,《左耳》再·见青春，我们相守共赴青春之约！,项目成功,50000.00,87834.00,2413,8,8.00,26,0,920,2015/05/21,是,1397,15,"淘宝-,,"
娱乐,14706,“为你钟情十二载·张国荣”12周年纪念活动,项目成功,100000.00,200226.87,8445,9,3.99,8,9,2274,2015/03/29,否,3993,5,"淘宝-,,"
娱乐,10258,绘色苍茫—电影《狼图腾》视觉艺术展众筹活动,制作中,30000.00,57546.00,1044,0,0.00,22,0,466,2015/02/01,是,NOTFOUND,NOTFOUND,"淘宝-,,"
