项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
科技,20055976,【2.8开始发货】蚁视增强版VR眼镜 私人3D影院,项目成功,100000.00,466173.00,2118,4,120.00,15,0,1005,2017/02/08,是,100,20,"淘宝-,,"
科技,20055840,墨迹天气空气果--PM2.5/甲醛智能空气检测仪,制作中,100000.00,358187.00,1212,10,19.00,13,3,1713,2017/02/16,否,282,15,"淘宝-,,"
科技,20055942,coowoo多功能护眼台灯——极简天使灯,制作中,100000.00,10058886.00,46428,6,0.10,29,0,15443,2017/02/26,否,496,30,"淘宝-,,"
科技,20056111,这是一款可自定义文字图案的蓝牙音响,制作中,100000.00,101300.00,372,4,248.00,0,0,1944,2017/02/26,是,84,15,"-,,"
科技,20054838,给你冬天的味道-GX香薰机,项目成功,100000.00,179733.00,697,3,169.00,16,0,3212,2017/02/08,否,476,30,"淘宝-,,"
科技,20056118,年轻人的智能手表，不用充电，续航两年,制作中,100000.00,4115498.00,19694,7,168.00,14,10,11355,2016/12/30,是,99,10,"-,,"
科技,20056726,极客公园创新大会,项目成功,5000.00,13210.00,35,5,179.00,4,0,52,2017/01/11,是,7,1,"-,,"
科技,20055877,纽曼TB109 音乐梦想从此刻开始,制作中,100000.00,1067286.00,2612,5,199.00,18,0,1495,2017/02/10,否,994,30,"淘宝-,,"
科技,20055451,GEEK智能木吉他酷黑版，让你从此爱上玩吉他！,制作中,100000.00,3407570.00,3715,4,898.00,21,3,10109,2017/02/09,是,1000,30,"淘宝-,,"
科技,20055500,看得见的植物净化墙 让你回归大自然,制作中,100000.00,113943.00,57,4,1999.00,13,0,3357,2017/02/10,否,57,30,"淘宝-,,"
科技,20056224,景沐安全车载挂饰 防盗求救一键搞定,制作中,100000.00,3012454.00,12966,5,199.00,23,0,2935,2017/02/15,是,45,30,"-,,"
科技,20055274,让骨头听话！内置播放器的骨传导无线运动耳机,制作中,50000.00,118549.00,391,4,299.00,4,0,1252,2017/01/15,否,307,15,"淘宝-,,"
科技,20055619,异极魔换-EpicGear职业电竞游戏鼠标,项目成功,100000.00,755608.00,903,7,488.00,19,0,2309,2017/01/23,是,50,30,"淘宝-,,"
科技,20055495,FDY 便携式超薄蓝牙音箱 拿着摆着都行,制作中,100000.00,959778.70,7378,6,19.90,19,0,6940,2017/02/09,否,4668,30,"淘宝-,,"
科技,20055643,2月25号前发完货 MAS CARNEY,制作中,1000000.00,10091147.00,48964,15,28.00,22,0,13081,2017/02/08,是,126,10,"淘宝-,,"
科技,20055788,精准快速：迷你智能双模体温计,项目成功,100000.00,100586.00,124,11,299.00,24,0,2442,2017/02/11,否,9,30,"淘宝-,,"
科技,20052213,"优护心衣,一款可以读懂心脏健康的智能服装",制作中,100000.00,121040.00,89,5,688.00,23,9,16362,2017/02/11,否,34,30,"-,,"
科技,20055090,全球通讯黑匣子|原手机号免费国际漫游,项目成功,500000.00,864672.00,5424,6,79.00,20,4,6352,2017/01/19,否,4444,30,"淘宝-,,"
科技,20055141,UMEHEAL:智能健身美体仪,制作中,100000.00,254217.00,736,7,299.00,16,0,1981,2017/01/16,是,38,5,"淘宝-,,"
科技,20054220,Plaxme水素补水仪，护肤养颜黑科技,项目成功,100000.00,195466.00,582,7,268.00,43,0,3936,2017/01/23,否,50,30,"淘宝-,,"
科技,20055662,【微雕塑形仪】塑造S型曲线就这么简单,制作中,100000.00,186824.00,807,4,198.00,5,0,2644,2017/01/11,否,771,7,"淘宝-,,"
科技,10092364,记录猫免安装香水行车记录仪，WiFi带遥控器,制作中,100000.00,113310.00,410,8,29.00,7,2,1290,2017/02/06,否,88,30,"淘宝-,,"
科技,20055787,新一代实力唱将胆机音响  ——经典回归  胆味正浓,制作中,100000.00,4627562.00,3778,7,999.00,19,0,5129,2017/02/15,否,76,30,"淘宝-,,"
科技,20055111,精婴智能冷鲜暖奶宝2.0,项目成功,100000.00,101614.00,411,4,168.00,23,0,3369,2017/01/21,否,100,15,"淘宝-,,"
科技,20055126,玖拍小侣二代：全球首款一体化多功能单反微单遥控器,项目成功,300000.00,361704.00,328,9,819.00,45,3,3631,2017/01/20,是,150,30,"淘宝-,,"
科技,20055148,WOOK，年轻人的第一块智能手表,制作中,100000.00,4757842.30,32660,9,9.90,20,0,19166,2017/02/05,是,4612,30,"淘宝-,,"
科技,20053373,户外拍照、摄像、 行车记录仪——智能运动拍摄眼镜,制作中,100000.00,1219555.00,3826,7,29.00,17,0,5765,2017/01/30,否,107,30,"淘宝-,,"
科技,20052131,青莓MINI-Q1呼吸伴侣,制作中,100000.00,240859.00,1786,5,99.00,27,0,4556,2017/01/21,是,150,15,"淘宝-,,"
科技,20054870,孕橙智能体温计 贴心孕育闺蜜 孩子发烧家庭必备,制作中,100000.00,1219706.00,11866,8,9.90,18,0,43817,2017/01/18,否,200,10,"淘宝-,,"
科技,20054919,创族2K屏VR一体机,制作中,100000.00,878971.00,619,5,999.00,18,0,3243,2017/02/03,否,69,30,"淘宝-,,"
科技,20054316,悦光3D全息微投，投影变触屏，交互更方便,制作中,100000.00,332344.00,468,3,118.00,10,2,5091,2017/01/21,是,15,30,"-,,"
科技,20054894,魅力男款美容女款香睡枕，释压护颈、睡眠监测娱乐通话,项目成功,200000.00,401194.00,1863,8,168.00,27,2,2513,2017/01/11,是,100,10,"-,,"
科技,20055440,大朋VR一体机M2 Pro 想象触手可及,项目成功,100000.00,923750.00,1223,7,3199.00,22,0,1685,2017/01/17,是,50,30,"-,,"
科技,20054858,BOBOT无线多功能拖地擦地打蜡机家用电动拖把,制作中,100000.00,1319646.00,1479,6,489.00,11,0,3865,2017/01/14,是,50,30,"淘宝-,,"
科技,20054847,【告别毒空气】小恶魔主动式空气净化器,制作中,500000.00,1094924.00,4856,1,129.00,9,0,4291,2017/01/15,否,NOTFOUND,30,"淘宝-,,"
科技,20054946,增强现实游戏手枪AR GUN,项目成功,100000.00,208016.00,1526,4,118.00,19,0,746,2017/01/15,是,201,10,"淘宝-,,"
科技,20054832,weloop唯乐Now2智能心率手环  任性版,项目成功,100000.00,156913.00,528,7,159.00,6,0,1198,2017/01/05,否,480,7,"淘宝-,,"
科技,20054783,逸腾G3苹果/安卓复合数据线，年前最后一根数据线。,制作中,100000.00,9656505.00,55158,9,19.00,23,1,7433,2017/01/14,是,300,30,"淘宝-,,"
科技,20054549,【速冷速热车载神器】N次方车载冷热冰箱,项目成功,500000.00,506395.00,1105,5,49.00,12,0,4343,2017/01/12,是,49,30,"淘宝-,,"
科技,20055445,安盘i7无线固态存储,项目成功,200000.00,253018.00,292,5,499.00,21,0,5794,2017/01/13,是,158,25,"淘宝-5.0,5.0,5.0"
科技,20053442,匠龙扫地机器人高清拍摄远程监控护家,项目成功,100000.00,1018036.00,846,4,999.00,20,0,2149,2017/01/12,否,100,30,"淘宝-4.9,4.9,4.9"
科技,20054061,Thoway户外蓝牙音箱充电宝【音质好到没朋友】,项目成功,100000.00,1808660.00,12429,9,9.90,14,3,11980,2017/01/12,是,90,30,"淘宝-4.7,4.7,4.8"
科技,20054855,诺比克 净水禅音香薰机 音色两全,项目成功,100000.00,273998.00,680,5,159.00,22,0,1294,2016/12/17,否,31,30,"-,,"
科技,20054971,ZERO CUP霖度智能净化水杯，还原水的本质！,制作中,100000.00,265776.00,1007,6,68.00,15,0,2696,2017/01/09,是,122,7,"淘宝-4.8,4.8,4.8"
科技,20053060,小K智能足浴器：智能养护专家,项目成功,100000.00,175018.00,462,6,299.00,22,0,664,2017/01/11,否,50,30,"淘宝-4.9,4.9,4.9"
科技,20054105,陪你等待渐蓝天空--小胖 PM2.5空气质量检测仪,项目成功,100000.00,1041845.00,3954,6,179.00,11,0,387,2017/01/05,否,20,15,"淘宝-5.0,5.0,5.0"
科技,20054657,乔威移动电源充电站,项目成功,100000.00,1023685.00,788,5,999.00,10,0,2521,2017/01/06,否,8,30,"淘宝-4.7,4.7,4.7"
科技,20055709,将课堂与老师带进客厅的智能电视盒子《状元盒》,项目成功,200000.00,2344284.00,21084,9,99.00,8,0,7745,2017/02/09,是,15131,15,"-,5.0,5.0"
科技,20053972,嘿灯－数字声控多彩智能灯（ 无需配网，扫码即控）,项目成功,100000.00,124907.00,733,6,69.00,13,8,629,2017/01/12,是,10,30,"淘宝-4.8,4.8,4.8"
科技,20055168,【咔咔】自拍大师，重新定义你的拍摄角度,项目成功,100000.00,894998.00,3342,4,229.00,20,0,9357,2017/01/12,是,99,10,"-,,"
科技,20052457,ROCK乐炫运动发光蓝牙耳机——防汗耐用，炫酷健身,项目成功,100000.00,116022.00,609,4,188.00,18,0,589,2017/01/10,是,300,15,"淘宝-4.8,4.8,4.8"
科技,20053634,腕上交通卡：敏狐嘀嘀手表第三代,制作中,100000.00,103164.00,583,4,100.00,23,0,868,2017/01/10,是,5,30,"-4.8,4.8,4.8"
科技,20054489,Aidebar  灵犀智能保温杯，从未如此“感”动,项目成功,100000.00,1045886.00,9587,7,99.00,9,0,9562,2017/01/16,否,4676,30,"淘宝-5.0,5.0,4.8"
