项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
娱乐,59265,拯救北极熊 桌面游戏新娱乐,11,148,42,0,1
娱乐,57671,易和堂传承手工陶艺教学,6,59,4,1,1
娱乐,57654,尼泊尔彩绘唐卡专场Ⅱ,49,1300,62,3,22
娱乐,57754,健康猫泉州生活馆,7,299,5,0,20
娱乐,59258,玩MR游戏 配VR头盔 ,5,79,9,0,3
娱乐,59303,格斗学院 王者之路泰拳之旅,7,1,1,0,4
娱乐,58779,岁月流歌华语乐坛演唱会,11,99,18,0,1
娱乐,58461,马克华菲带你去见宋仲基,5,1,6,1,1
娱乐,57553,悦跑专业跑者装备礼包,10,99,12,0,1
娱乐,59670,梦想骑行嘉年华-骑闯天路,5,99,20,0,1
娱乐,57639,又萌又会动的性教育绘本,9,46,42,0,1
娱乐,59812,开启AR亲子体感玩具新时代,7,88,16,0,2
娱乐,58687,素格K2立体声蓝牙耳机,7,169,8,1,1
娱乐,57561,LP激发潜能 带你跑遍世界,6,800,5,0,1
娱乐,58678,编程猫趣味编程课,6,99,6,0,2
娱乐,58264,筹一个部落，去草原撒野！,7,980,13,0,1
娱乐,56177,谭笑聪《初夏的天》音乐专辑,3,49,1,0,1
娱乐,57552,泥泞跑南京站火热开跑！,5,249,19,0,5
娱乐,54692,健康猫武汉生活馆,7,299,5,0,20
娱乐,56635,健康猫济南生活馆,7,299,5,0,20
娱乐,54436,为99乐团众筹第一张专辑,1,10,5,0,1
娱乐,54409,N-show 体感学习机,5,1688,36,0,1
娱乐,55153,神奇！野生动物园搬进家里！,7,99,25,1,2
娱乐,54452,美味菇醸，正版授权汉化桌游,4,168,5,0,2
娱乐,55285,乔丹智能跑鞋-科技助力兰马,4,259,1,0,1
娱乐,56160,一张雕刻了整场青春的唱片,5,36,7,21,1
娱乐,56804,山东万紫千红生态农庄,7,699,35,2,1
娱乐,57245,私享瑜伽课程 开启健康生活,10,128,13,1,1
娱乐,55413,彼尔德出没，速度抱走吧~ ,12,39,7,0,2
娱乐,53576,“极客”一体化高帮足球鞋,5,299,27,0,1
娱乐,55112,尼泊尔彩绘唐卡及金银卡专场,57,1200,67,3,22
娱乐,54877,愤怒的小鸟正版授权滑板车,5,1,11,0,1
娱乐,53791,禅意之歌发烧大碟 意•江南,7,1,5,0,1
娱乐,51765,亨德利球迷见面会·商丘站,4,299,5,3,3
娱乐,53475,阿狸.和你共寻最初的幸福,7,59,13,0,3
娱乐,51494,支持原创动画《快递侠外传》,7,1,6,0,1
娱乐,52924,少年派奇幻帆船夏令营,4,988,7,0,1
娱乐,50480,泥泞跑北京站等您来挑战！,4,249,18,0,5
娱乐,51771,亨德利球迷见面会·连云港站,4,299,5,3,3
娱乐,50922,宋仲基《太阳的后裔》写真集,2,146,1,0,1
娱乐,51506,致青春黑胶唱片 时光的礼物,11,199,59,1,1
娱乐,53914,狂想曲劲舞礼盒,5,30,5,0,2
娱乐,52865,Q萌英雄邀你站队《美队3》,7,88,7,0,1
娱乐,54308,左小祖咒携手王迈大师八音盒,5,199,16,0,1
娱乐,54393,宋冬野年少一梦大连演唱会,4,1,6,1,1
娱乐,52114,为《不良人》剧组盒饭加个蛋,7,1,32,6,1
娱乐,51089,创咖们，一起去丽江开客栈！,7,588,16,3,1
娱乐,48426,皮影影子-武圣关公,9,188,5,7,4
娱乐,47142,蝙蝠侠正义黎明创意个性杯壶,8,49,6,0,1
娱乐,49543,支持一部同性音乐独立电影,6,28,6,0,1
娱乐,50314,一房一车一路，也行也餐也趣,6,6680,10,1,1
娱乐,56439,众筹你的爱情约定,5,1,7,0,1
娱乐,49033,中国成都汽车音乐节,3,120,13,1,1
娱乐,48975,自驾探秘贝加尔湖,4,2800,2,1,1
娱乐,46708,JDRUNNING跑向里约,8,100,11,3,3
娱乐,49272,御龙在天背包，轻装征服天下,5,19,9,0,1
娱乐,46439,一天上一百堂美学课,6,1,5,0,1
娱乐,46752,茗茶三千，只取小花,7,29,13,2,4
娱乐,46226,美岩红酒为你的青春之旅买单,9,199,5,0,1
娱乐,47236,听真实，听现场，听龚琳娜,6,69,5,0,1
娱乐,48394,小小演说家-早教故事机,9,139,6,1,3
娱乐,48017,凹凸租车好奇心众筹,7,200,6,0,2
娱乐,48357,张小盒九周年限量版潮玩公仔,5,99,6,2,1
娱乐,48988,走！熊猫带你去塞舌尔开年会,7,2,6,30,4
娱乐,44840,用跑马拉松的热情关注公益人,3,1,1,1,1
娱乐,44884,跑 再多一步 ,6,199,5,0,1
娱乐,44725,阴影之主－斯布雷斯模型手办,9,79,13,1,4
娱乐,44603,爱偲带你玩转乌克兰 ,6,2,18,0,7
娱乐,44499,《徽州魂》喊你来做制片人！,7,66,8,0,1
娱乐,44940,原创钢魔兽拼装模型恐龙系列,7,98,20,5,2
娱乐,44945,原创钢魔兽金属拼装立体模型,9,1,13,5,2
娱乐,44434,健康猫上海生活馆,8,299,20,0,20
娱乐,44415,健康猫广州生活馆,8,299,20,0,20
娱乐,45999,2016中国嘻哈颁奖典礼 ,5,99,12,0,1
娱乐,43186,睿卡尤克里里多媒体动漫课程,9,200,6,3,2
娱乐,44433,健康猫北京生活馆,8,299,20,0,20
娱乐,46048,《昆仑决》请你来现场嗨,9,50,6,0,1
娱乐,43110,燃烧吧少年冠军夜，邀你前来,19,135,8,0,1
娱乐,44381,城市先锋戏剧《致爱丽丝》,8,80,17,0,2
娱乐,44106,你与超跑只有一元钱的距离,9,499,4,0,1
娱乐,43084,潮爆High翻 时尚骑行,5,198,5,0,2
娱乐,41021,熊出没，给孩子一个熊抱抱！,8,49,15,0,2
娱乐,42342,王紫菲新专辑众筹,4,39,4,0,1
娱乐,41449,与激情相约，同哈雷共舞！,6,1,8,2,1
娱乐,42886,游武夷茶山， 品自家岩茶,8,99,10,0,1
娱乐,40821,众筹一部疯魔的电影,7,10,4,0,1
娱乐,41499,桂林罗山湖，众筹你的温泉,6,39,19,0,1
娱乐,40561,空港易行一站式机场贵宾服务,7,38,7,0,1
娱乐,40886,万万没想到唱吧限量版麦克风,4,208,4,1,29
娱乐,40556,还能更酷么？和霍华德单挑？,7,7,6,0,2
娱乐,40392,星球大战与你一起原力觉醒,8,20,5,0,1
娱乐,40405,万万没想到之魔性道具,15,46,7,1,29
娱乐,40828,一部让你触动心灵的影片,7,1,8,0,1
娱乐,41498,秦岭北麓农场一果一蔬一田园,21,28,15,1,1
娱乐,34724,雷子笑工厂开放舞台等你来疯,7,28,5,0,1
娱乐,33098,艺起学，学钢琴其实很简单,10,499,14,0,1
娱乐,41529,洪泽湖畔有个家 ,7,38,39,4,1
娱乐,34090,守候天空 让蓝回家,3,120,8,3,3
娱乐,32740,去南半球过夏天,5,99,6,0,1
娱乐,32915,尼泊尔唐卡众筹祈福专场,61,600,33,3,22
娱乐,31540,自驾探寻《魔戒》之旅,7,899,26,0,1
娱乐,33483,飞客攻略，商旅常客必备手册,6,29,3,0,1
娱乐,33547,大吉成长记亲子安全舞台剧,5,78,6,0,1
娱乐,34509,《左耳》——为青春众筹一次,8,80,12,0,1
娱乐,31731,拾遗千年的梵音,8,59,8,0,1
娱乐,33181,沉浸式音乐剧《鱼》,6,30,4,0,1
娱乐,33825,大型真人秀《球爱》嘉宾招募,9,1,3,0,1
娱乐,34366,在箭扣长城上住酒店,7,20,29,2,1
娱乐,33194,和我们一起去无人区拍电影,9,10,5,8,1
娱乐,33723,室友一起宅，现场大趴,7,52,5,0,1
娱乐,34145,星球大战暴风白兵1:1头盔,4,1580,7,0,3
娱乐,34162,十感沉浸互动鬼吹灯,13,10,12,2,1
娱乐,30176,九华山双溪寺平安情侣吊坠,7,330,6,13,8
娱乐,30758,黄金假日包机关岛，约吗？,5,10,6,0,1
娱乐,30361,参与一部与众不同的电影,8,100,6,0,1
娱乐,30072,魔吻漫威英雄首饰系列,6,89,6,0,3
娱乐,29763,群星邀你实现留守儿童的梦想,6,42,9,2,1
娱乐,30063,一个叫萌八怪的手机大声公,7,189,7,0,1
娱乐,29993,国学励志脱口秀：谷园讲通鉴,7,38,9,1,1
娱乐,29509,梦想不要太累 听听陈蓉郑菲,6,9,10,0,1
