项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
设计,71661,翡翠平安扣,13,599,13,0,1
设计,71563,一碗米饭就够了,7,99,24,0,1
设计,71560,孤独症创意帽衫，表达你的爱,5,158,14,0,1
设计,71730,睡公主原始点功能床垫,6,1280,15,3,1
设计,71622,一只保温杯的梦想,10,79,10,0,1
设计,71542,千年古法柴烧琉璃-唐木,8,998,10,2,1
设计,71254,一双鞋，居然这么牛！,19,659,9,4,1
设计,71062,多拉美生活洗浴礼盒,6,68,6,0,1
设计,71395,匠人心制-原创全手工紫砂壶,4,680,11,0,1
设计,71446,podo 坐姿矫正器,8,68,10,0,1
设计,71501,火枫 便携钛酒壶,7,399,6,0,2
设计,71218,佛家之礼，砗磲贝壳围棋子,7,15,22,0,2
设计,71225,威衣酷时尚户外运动抓绒衣,7,69,25,0,1
设计,71405,四大名陶 非遗大师绝版孤品,12,65,25,0,1
设计,71416,让时间定格，渍纹原木时钟,5,145,28,0,1
设计,71195,芭蕾秘密 磁疗暖宫体雕裤 ,8,98,13,4,1
设计,71224,驴得水官方限量版睡服,9,88,14,0,1
设计,71365,商旅便携剃须刀+打火机,6,59,24,0,6
设计,71247,抗雾霾百变运动魔术头巾,9,169,40,0,1
设计,71117,一把怪椅子,10,49,21,0,1
设计,71138,平底鞋般舒适的高跟鞋,7,369,8,5,1
设计,71099,时尚迷你除味魔盒，净化器,7,128,16,544,1
设计,71043,【收藏级】明式收纳茶盒套组,9,128,35,0,3
设计,70826,每个人的心中，都有一个悟空,8,159,13,0,1
设计,71035,本草太空记忆枕,6,138,14,0,1
设计,70762,奥斯顿 可入口喷雾除菌液,6,19,22,0,2
设计,70774,贝贝卫士儿童智能物理退热仪,6,249,17,0,1
设计,70973,物理温控奶嘴—杜绝宝宝烫伤,10,68,23,0,1
设计,71053,让你爱不释手的手工牛皮包,6,475,23,0,1
设计,70976,韵远流长紫砂器 — 提梁壶,6,288,19,0,3
设计,71030,一把非比寻常的伞,12,128,29,0,1
设计,70990,万事利祈福彩国礼真丝围巾,9,279,17,0,1
设计,70919,创新防水透气科技，出行无忧,9,399,16,0,1
设计,70790,ZazaBaby安全座椅,7,999,39,0,1
设计,70950,无价的春联,7,99,14,0,1
设计,70766,海鸥51表-来自时间的礼物,6,899,13,0,1
设计,70800,一套让你告别洗洁精的餐具,9,11,31,10,1
设计,70761,一颗藻 泰国天然乳胶枕,9,328,16,12,1
设计,70484,费奇赫顿功能性保暖内衣,6,169,6,2,2
设计,70569,会呼吸有生命的花盆,9,119,16,0,1
设计,70516,道极壶-原创宜兴紫砂壶 ,13,30,13,0,4
设计,70732,LEIST智能恒温科技服装,4,499,23,0,1
设计,70437,世界非遗龙泉青瓷·竹意盖碗,10,68,17,0,1
设计,70672,一款有负离子专利的5D靠枕,11,126,7,0,1
设计,70646,219鼾尼智能止鼾枕,8,38,16,1,1
设计,70428,一副眼镜，双重体验,4,268,5,0,2
设计,70738,《必胜》香炉笔架,6,20,11,4,1
设计,70744,入一聚合式智能茶几,5,3599,13,6,1
设计,70491,亲子互动FPV视频玩具车,7,188,23,0,1
设计,70703,身足通-碳纤维足腿健康宝,8,1299,13,0,1
设计,70664,人间神品 禅宗圣物木叶盏,6,298,15,7,1
设计,70695,舒适有机棉四件套,6,99,14,0,2
设计,70468,乐摇筛筛盆,7,158,25,0,1
设计,70634,鼻烟壶有故事,13,38,29,48,3
设计,70200,百年沉淀-紫砂壶之梅花三弄,7,88,23,0,3
设计,70202,埃沃智能发热定制西服,7,699,17,5,5
设计,70091,点燃火花，来场华丽冒险,9,249,10,0,2
设计,70322,梦特娇全棉素色拉绒四件套,6,399,6,0,7
设计,70315,新疆长绒棉活性印花四件套,7,299,6,0,7
设计,70334,三代人的梦想，做一只好箱子,6,299,13,0,2
设计,70068,名家手工制作太极文化养生杯,4,399,14,0,1
设计,70262,初然之爱婴儿手口湿巾众筹,7,27,16,0,1
设计,70290,德国制造·奢华酒店鹅绒床品,11,799,30,0,3
设计,70328,中药磁场鞋垫—360°除臭,6,19,16,0,1
设计,70118,一款能感知清洁度的智能毛巾,10,99,16,4,1
