项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
美食,64251,我给您藏了一枚手工松花皮蛋,7,35,11,0,1
美食,63930,夏日密语-会说情话的巧克力,8,89,21,0,1
美食,62788,河阴软籽石榴不吐籽的石榴,8,59,24,0,1
美食,62978,中秋和迪士尼黑皮月饼在一起,10,168,26,0,1
美食,62956,吉内得富硒鲜活大米,6,15,11,0,1
美食,63350,光辉岁悦心情老酒—酒魔造,8,128,16,4,3
美食,64507,八种口味的辣酱 挑战你味蕾,5,25,7,0,1
美食,64044,贡牌西湖龙井文人雅士礼盒,11,198,11,0,1
美食,64376,传承百年“不像茶，胜似茶”,8,45,18,1,1
美食,64442,百年酒坊，尊古酿造滴滴醇香,6,129,7,0,1
美食,63214,北大荒不能量产的冰天雪蜜,9,69,35,7,1
美食,62694,好饭还需靓汤配 汤汤入味,9,42,8,24,1
美食,64300,回归自然寻纯正古法土榨红糖,6,99,8,0,1
美食,62879,那英音乐花草茶限量发售,11,35,8,0,1
美食,62755,只做稍微好吃一点的麻辣香肠,7,18,14,0,1
美食,62818,茅台镇上等原浆老酒1.5L,8,69,6,0,2
美食,61559,钙果--水果美味唯它善补钙,7,36,11,0,2
美食,62118,油切黑乌龙，都市人的福音,6,49,13,0,1
美食,61581,去黄土高坡，找寻天然槐花蜜,6,59,28,0,1
美食,61936,陪王凯细水长流 ,5,99,6,0,1
美食,61629,迟到的茉莉花茶，虽晚犹荣,12,66,24,0,7
美食,61701,食肉怪口袋大餐,9,19,21,0,1
美食,62165,十年陈酿首开缸 匠心酿好醋,8,49,20,0,1
美食,61571,汾酒集团72变酒,10,29,11,0,1
美食,61741,大山里面的好茶—凤冈锌硒茶,8,69,6,0,2
美食,62427,世间美味马来西亚猫山王榴莲,4,128,21,0,1
美食,61727,茅台镇天然活竹美酒清雅醇香,7,69,5,0,6
美食,61632,纳面——您距田野只差5秒,8,109,28,0,1
美食,61913,一个传统手工艺者的坚守！,6,10,7,0,1
美食,61922,距离 产生玫瑰寺,6,59,5,4,1
美食,61586,茅台镇纯坤沙老酒会员内测酒,8,69,7,2,4
美食,60947,一瓶拿得起放不下的白酒,8,39,19,0,2
美食,61537,一盒来自远方的美食,11,99,56,4,2
美食,62483,大师手酿技艺，收藏级国花瓷,9,192,14,0,7
美食,61399,长白山天然蓝莓—明亮我的眸,8,69,20,0,4
美食,61155,国宴清远鸡扶贫众筹,6,39,7,0,1
美食,59253,你吃过燕窝一样滑的燕麦吗？,9,32,15,0,1
美食,59286,红筷—给贫困儿童的免费午餐,6,1,2,0,2
美食,59135,舌尖味道，大别山散养土鸡,6,56,17,0,1
美食,60681,拯救最后的巧家小碗红糖技艺,6,18,28,0,1
美食,59804,来自长白山下的有机蓝莓,8,79,6,0,1
美食,60326,非厨房红烧酱，给你家的味道,5,39,12,8,1
美食,60129,沁和堂黑金茶首次比武招亲,13,99,5,6,1
美食,59238,天然软壳蟹-我真的是软的哟,7,138,11,10,1
美食,60360,夏日标配，画乡印象户太八号,8,134,6,0,7
美食,59290,茅台镇坤老酒个性化书画定制,7,189,8,0,4
美食,60749,刮风寨野生茶 大自然的恩赐,8,29,5,15,2
美食,60650,手工的极致，好喝的太平猴魁,7,29,15,2,1
美食,57079,莱芜香菊,7,59,16,0,1
美食,59004,我们只比传统阿胶多了点水,8,69,5,0,1
美食,58260,藏一壶浓酽岁月——古树普洱,8,120,28,0,3
美食,58711,五粮液股份原藏天荣铂金版,8,99,16,0,2
美食,57565,芭翠提无醇气泡酒，来自澳洲,9,69,9,0,1
美食,58242,好兄弟喝狐兔，为梦想启程！,10,79,18,0,1
美食,58583,天赐良蜜——源自长白山,7,39,20,0,4
美食,58196,于谦的酒。,8,99,13,0,1
美食,58227,露水保鲜—树上熟地标荔枝,7,126,21,4,1
美食,57154,由阿胶和红糖制成的养颜糖果,8,69,14,2,1
美食,57542,蜂王归来  蜜享到家,7,39,10,0,1
美食,57478,原汁原味正宗潮汕牛肉丸,7,78,11,0,2
美食,57725,酱紫的酒才珍的薯于你,6,39,5,79,2
美食,58224,茅台镇老酒， 个性化雕刻,9,299,29,0,2
美食,57482,带给您记忆中的老味道,5,16,9,0,1
美食,57535,土家腊肠，即将消失的味道,7,39,19,0,1
美食,56606,台湾酵素享受品质健康生活,6,88,20,0,2
美食,56643,品质生鲜，水源地承德蹦跶鸡,7,139,15,0,1
美食,56019,五朵樱花  樱为有你,8,198,31,0,5
美食,56817,遵天命守匠心，古法酿造豆豉,7,25,8,0,2
美食,56790,金冠石花张嘉译签名定制酒,7,99,3,0,1
美食,56101,端午节，我想和你一起包粽子,6,29,20,0,1
美食,55653,让舌尖永生难忘的台湾黄帝粽,9,68,8,0,1
美食,56615,金桔蜂蜜茶 喝出美味好生活,7,38,15,1,1
美食,55598,建发宾杰金标AOC红葡萄酒,7,328,11,0,1
美食,55537,古法传承 回归的梅醋萝卜,5,16,18,10,1
美食,56639,杰克丹尼限量版音箱礼盒,6,159,8,1,3
美食,56779,端午鸭蛋，富贵流油,9,9,13,2,4
美食,56727,专为兄弟定制的古法精酿小酒,8,35,7,2,1
美食,55616,海底捞爱的味道，穿越五百年,8,19,18,0,1
美食,55549,高端木盒重新定义茅台镇白酒,8,239,7,0,7
美食,56179,一个城市一头牛,16,98,19,0,1
美食,54439,舌尖美味—洪湖油黄咸鸭蛋,4,43,12,0,4
美食,55467,祁门老树红茶（野生无污染）,9,138,26,0,2
美食,54467,让一杯鲜茶陪你度过这个夏天,6,49,30,2,1
美食,55177,无法作假的蜜，保护中华土蜂,5,59,5,0,1
美食,54196,理想主义的粉儿多少钱一碗,7,28,10,0,1
